id,assignment,userid,timecreated,timemodified,grader,grade,attemptnumber
1,10,13,1711361942,1713197272,9,94.44000,0
211,21,13,1719778597,1719778605,6,100.00000,0
57,13,13,1714045142,1716284861,6,57.50000,0
77,14,13,1714908962,1716800359,9,89.28000,0
12,11,13,1712567282,1718613234,9,72.50000,0
100,16,13,1716142082,1718205537,6,94.82000,0
200,20,13,1719778113,1719778121,6,100.00000,0
26,12,13,1713171362,1715021994,9,92.50000,0
163,19,13,1718278442,1719744902,9,100.00000,0
123,17,13,1716800761,1718792524,9,100.00000,0
80,15,13,1714986302,1717401997,9,94.44000,0
138,18,13,1717404661,1719745072,9,91.66000,0
172,17,16,1718792524,1718792524,9,100.00000,0
134,15,16,1717401997,1717401997,9,94.44000,0
120,14,16,1716800359,1716800359,9,89.28000,0
201,20,16,1719778129,1719778137,6,100.00000,0
41,11,16,1713458544,1718613234,9,72.50000,0
106,13,16,1716284861,1716284861,6,57.50000,0
189,18,16,1719745072,1719745072,9,91.66000,0
157,16,16,1718205537,1718205537,6,94.82000,0
88,12,16,1715021994,1715021994,9,92.50000,0
32,10,16,1713197272,1713197272,9,94.44000,0
184,19,16,1719744902,1719744902,9,100.00000,0
212,21,16,1719778615,1719778623,6,100.00000,0
195,20,17,1719777914,1719777926,6,100.00000,0
182,19,17,1719744828,1719744828,9,100.00000,0
39,11,17,1713458486,1718613146,9,82.50000,0
86,12,17,1715021942,1715021942,9,95.00000,0
104,13,17,1716284744,1718613350,9,85.00000,0
187,18,17,1719745003,1719745003,9,100.00000,0
30,10,17,1713197227,1713197227,9,97.22000,0
117,14,17,1716800293,1716800293,9,94.04000,0
170,17,17,1718792468,1718792475,9,100.00000,0
132,15,17,1717401907,1717401921,9,97.22000,0
209,21,17,1719778522,1719778531,6,100.00000,0
155,16,17,1718205445,1718205455,6,96.55000,0
24,11,19,1713088682,1713774272,6,92.50000,0
63,13,19,1714327682,1716284989,6,42.50000,0
178,19,19,1719147662,1719777574,6,96.77000,0
217,21,19,1719778774,1719778782,6,100.00000,0
199,20,19,1719778068,1719778076,6,100.00000,0
148,18,19,1717940402,1717940358,-1,-1.00000,0
8,10,19,1712440382,1713207965,6,80.55000,0
95,15,19,1715550482,1717402086,6,100.00000,0
147,17,19,1717934402,1718792586,9,100.00000,0
46,12,19,1713462929,1715022066,9,97.50000,0
75,14,19,1714732922,1716800365,6,97.61000,0
160,16,19,1718205637,1718205645,6,100.00000,0
202,20,21,1719778165,1719778173,6,100.00000,0
174,17,21,1718792565,1718792565,9,100.00000,0
35,10,21,1713207824,1713207879,6,91.66000,0
191,19,21,1719777508,1719777531,6,93.54000,0
159,16,21,1718205599,1718205610,6,96.55000,0
108,13,21,1716284929,1716284942,6,95.00000,0
215,21,21,1719778714,1719778721,6,100.00000,0
52,11,21,1713774186,1713774200,6,80.00000,0
118,14,21,1716800297,1716800310,6,91.66000,0
44,12,21,1713462896,1715022044,9,80.00000,0
131,15,21,1717401905,1717401922,6,95.45000,0
185,18,25,1719744942,1719744942,9,100.00000,0
84,12,25,1715021892,1715021892,9,72.50000,0
153,16,25,1718205369,1718205389,6,100.00000,0
101,13,25,1716284623,1716284676,6,47.50000,0
128,15,25,1717401831,1717401831,9,91.66000,0
37,11,25,1713458397,1713458397,9,12.50000,0
28,10,25,1713197165,1713197166,9,91.66000,0
204,20,25,1719778219,1719778228,6,100.00000,0
114,14,25,1716800216,1716800235,9,92.26000,0
180,19,25,1719744747,1719744759,9,83.87000,0
205,21,25,1719778385,1719778393,6,100.00000,0
168,17,25,1718792410,1718792421,9,97.91000,0
126,17,26,1717169582,1718792421,9,97.91000,0
81,15,26,1714987862,1717401831,9,91.66000,0
146,18,26,1717933142,1719744942,9,100.00000,0
98,16,26,1715803862,1718205389,6,100.00000,0
164,19,26,1718447762,1719744759,9,83.87000,0
