assignment,userid,timemodified,grade
11,90,1728294882,-1.0
11,104,1730704345,97.22
11,105,1728294882,-1.0
11,109,1730704839,83.33
11,115,1730704161,91.66
11,117,1730705006,83.33
11,113,1730705181,86.11
11,77,1730705181,86.11
11,108,1730704788,94.44
11,45,1730704788,94.44
11,80,1730705118,91.66
11,116,1730705118,91.66
11,110,1730704261,88.88
11,92,1730704261,88.88
11,69,1730704162,91.66
11,118,1730704283,94.44
11,79,1730704300,97.22
11,125,1730704300,97.22
11,103,1730704300,97.22
12,117,1730209132,85.0
12,85,1730209132,85.0
12,108,1730209022,85.0
12,45,1730209023,85.0
12,76,1730715087,82.5
12,60,1730715087,82.5
11,123,1730704324,94.44
11,111,1730704324,94.44
12,91,1730209216,77.5
12,81,1730209216,77.5
11,76,1730704971,94.44
11,60,1730704971,94.44
12,113,1730209195,67.5
12,77,1730209195,67.5
12,110,1730208855,52.5
12,92,1730208855,52.5
12,109,1730208711,72.5
12,93,1730208711,72.5
12,80,1730209176,65.0
12,116,1730209176,65.0
12,115,1730208803,60.0
12,69,1730208804,60.0
12,118,1730208894,55.0
12,129,1730208894,55.0
11,126,1730704441,97.22
11,128,1730704441,97.22
12,79,1730208938,80.0
12,125,1730208938,80.0
12,103,1730208938,80.0
12,123,1730208968,50.0
12,111,1730208968,50.0
11,98,1730704138,91.66
11,95,1730704138,91.66
12,98,1730711377,80.0
12,95,1730711377,80.0
11,100,1730705219,88.88
11,97,1730705219,88.88
12,100,1730715178,82.5
12,97,1730715178,82.5
11,82,1730704376,97.22
12,82,1730209084,50.0
12,126,1730209187,92.5
12,128,1730209187,92.5
11,63,1730048973,-1.0
11,10,1730048973,-1.0
11,12,1730048973,-1.0
11,5,1730048973,-1.0
11,84,1730048973,-1.0
11,7,1730048973,-1.0
11,130,1730704927,91.66
12,105,1730048989,-1.0
11,83,1730705057,80.55
12,63,1730048989,-1.0
12,10,1730048989,-1.0
11,75,1730048973,-1.0
12,12,1730048989,-1.0
11,62,1730048973,-1.0
12,5,1730048989,-1.0
12,90,1730048989,-1.0
12,84,1730048989,-1.0
12,7,1730048989,-1.0
12,130,1730209089,60.0
12,83,1730209158,55.0
12,75,1730048989,-1.0
12,62,1730048989,-1.0
11,30,1730705057,80.55
11,112,1730705057,80.55
12,30,1730209158,55.0
12,112,1730209159,55.0
11,107,1730704927,91.66
11,106,1730704927,91.66
12,107,1730209089,60.0
12,106,1730209089,60.0
11,121,1730704411,100.0
11,99,1730704412,100.0
12,121,1730209136,60.0
12,99,1730209136,60.0
13,109,1732022630,77.5
13,93,1732022630,77.5
13,113,1732022737,100.0
13,77,1732022737,100.0
12,104,1730209043,60.0
13,117,1732022679,65.0
13,85,1732022679,65.0
13,104,1732022850,87.5
