userid,contextinstanceid,timecreated,completionstate
2,14,1728464122,1
2,15,1728464123,1
78,14,1728487621,1
78,15,1728487622,1
117,1,1728488229,1
2,1,1728489873,1
6,1,1728544037,1
2,16,1728555568,1
103,1,1728567961,1
95,1,1728652231,1
75,14,1728745833,1
69,14,1728815568,1
69,17,1728815585,1
69,28,1728816283,1
69,27,1728819217,1
126,1,1728849507,1
126,7,1728851656,1
126,14,1728852675,1
126,15,1728852893,1
126,16,1728852923,1
126,17,1728853100,1
98,1,1728882562,1
98,5,1728883152,1
98,6,1728883181,1
98,14,1728883207,1
98,21,1728883347,1
98,15,1728886430,1
98,51,1728887368,1
80,67,1728888434,1
80,68,1728888453,1
80,69,1728888474,1
98,67,1728888606,1
80,89,1728889354,1
80,88,1728889354,1
80,86,1728889355,1
80,87,1728889359,1
98,87,1728889494,1
126,52,1728889551,1
98,68,1728889808,1
98,88,1728889818,1
126,88,1728889863,1
126,87,1728889867,1
104,103,1728890523,1
98,99,1728890549,1
98,100,1728890550,1
80,100,1728890556,1
126,99,1728890621,1
97,1,1728892714,1
79,14,1728893889,1
79,14,1728893933,1
2,28,1728894004,1
2,15,1728894008,1
77,524,1728894069,1
2,46,1728894159,1
2,32,1728894163,1
2,32,1728894165,1
2,32,1728894170,1
2,32,1728894172,1
2,32,1728894173,1
92,524,1728894258,1
69,524,1728894327,1
123,11,1728894335,1
82,524,1728894362,1
129,524,1728894444,1
77,11,1728894471,1
77,14,1728894480,1
77,15,1728894481,1
77,16,1728894482,1
77,17,1728894483,1
77,18,1728894485,1
77,33,1728894492,1
106,524,1728894492,1
77,34,1728894493,1
77,35,1728894495,1
77,36,1728894495,1
111,524,1728894534,1
97,524,1728894571,1
60,524,1728894650,1
115,524,1728894723,1
92,11,1728894856,1
108,524,1728894859,1
76,524,1728894899,1
69,11,1728894958,1
82,11,1728895183,1
110,524,1728895259,1
106,11,1728895304,1
113,2,1728895676,1
123,524,1728895823,1
93,524,1728895882,1
60,11,1728895956,1
115,11,1728896806,1
115,2,1728896810,1
115,1,1728896817,1
115,5,1728896825,1
115,6,1728896831,1
93,11,1728897071,1
93,1,1728897156,1
93,2,1728897171,1
93,5,1728897174,1
93,6,1728897180,1
93,7,1728897213,1
76,11,1728897643,1
126,524,1728900235,1
126,11,1728901589,1
79,524,1728901771,1
79,11,1728901772,1
80,524,1728934302,1
80,11,1728937053,1
80,2,1728937054,1
98,2,1728980232,1
98,524,1728980243,1
98,11,1728980249,1
79,14,1729002136,1
79,17,1729003234,1
79,22,1729005268,1
79,27,1729006106,1
116,524,1729006877,1
116,11,1729008016,1
103,524,1729062363,1
77,11,1729089905,1
104,21,1729177920,1
104,14,1729177923,1
126,98,1729181959,1
126,100,1729181976,1
126,100,1729181994,1
126,103,1729182264,1
126,113,1729182335,1
126,104,1729182340,1
108,1,1729230740,1
95,524,1729361034,1
80,6,1729426802,1
80,5,1729426807,1
80,1,1729426811,1
80,7,1729426817,1
80,22,1729426852,1
80,14,1729426889,1
80,16,1729427000,1
80,15,1729428752,1
80,17,1729428765,1
104,22,1729430945,1
104,15,1729430999,1
104,16,1729431000,1
80,21,1729431371,1
80,32,1729431463,1
104,100,1729432294,1
104,98,1729432294,1
104,101,1729432302,1
104,99,1729432307,1
104,102,1729433634,1
