Filename,Word Count,Image Count,Time per Page,Number of Pages,Estimated Reading Time per Page (Minutes),Resolution Height
./05_DesignPattern_SU_AbstractFactory_295.pdf,34,0,[0.14],1,0.14,540.0
./05_DesignPattern_SU_Adapter_280.pdf,48,4,"[0.76, 0.77]",2,1.53,595.3200073242188
./05_DesignPattern_SU_Anit-Pattern_Grundlagen_343.pdf,59,1,[0.57],1,0.57,595.3200073242188
./05_DesignPattern_SU_Architektur-Design-Anti-Pattern_354.pdf,42,5,[1.83],1,1.83,595.3200073242188
./05_DesignPattern_SU_Bridge_281.pdf,40,6,[2.16],1,2.16,595.3200073242188
./05_DesignPattern_SU_ChainofResponsibility_334.pdf,55,3,[1.22],1,1.22,595.3200073242188
./05_DesignPattern_SU_Command_260.pdf,91,3,[1.36],1,1.36,595.3200073242188
./05_DesignPattern_SU_Decorator_246.pdf,38,0,[0.15],1,0.15,540.0
./05_DesignPattern_SU_Grundlagen_195.pdf,61,0,"[0.11, 0.14]",2,0.24,540.0
./05_DesignPattern_SU_Kompositum_305.pdf,74,3,[1.3],1,1.30,595.3200073242188
./05_DesignPattern_SU_MVC_233.pdf,91,2,"[0.86, 0.17]",2,1.03,595.3200073242188
./05_DesignPattern_SU_Observer_232.pdf,49,0,[0.2],1,0.20,540.0
./05_DesignPattern_SU_Programming-Anti-Pattern_363.pdf,28,5,[1.78],1,1.78,595.3200073242188
./05_DesignPattern_SU_Proxy_282.pdf,27,0,[0.11],1,0.11,540.0
./05_DesignPattern_SU_SOLID_208.pdf,52,0,[0.21],1,0.21,540.0
./05_DesignPattern_SU_Singleton_217.pdf,26,0,[0.1],1,0.10,540.0
./05_DesignPattern_SU_Strategy_325.pdf,31,0,[0.12],1,0.12,540.0
./05_DesignPattern_SU_TemplateMethod_315.pdf,37,0,[0.15],1,0.15,540.0
./05_DesignPattern_TAM_AbstractFactory_296.pdf,0,2,[0.67],1,0.67,595.219970703125
./05_DesignPattern_TAM_Decorator_248.pdf,0,1,[0.33],1,0.33,595.219970703125
./05_DesignPattern_TAM_Observer_235.pdf,0,2,"[0.33, 0.33]",2,0.67,595.219970703125
./05_DesignPattern_TAM_Singleton_218.pdf,0,1,[0.33],1,0.33,595.219970703125
./07_EX_Äquivalenzklassen_451.pdf,74,0,"[0.01, 0.29]",2,0.30,540.0
./07_EX_Coding_Guidelines_484.pdf,42,1,"[0.01, 0.49]",2,0.50,540.0
./07_EX_Dynamische Tests_440.pdf,118,0,"[0.01, 0.46]",2,0.47,540.0
./07_EX_Grenzwertanalyse_462.pdf,49,0,"[0.01, 0.19]",2,0.20,540.0
./07_EX_Grundlagen_416.pdf,19,0,"[0.01, 0.06]",2,0.08,540.0
./07_EX_SW Metrik_499.pdf,82,1,"[0.01, 0.65]",2,0.66,540.0
./07_EX_Statische Tests_429.pdf,158,1,"[0.01, 0.95]",2,0.97,540.0
./07_EX_White-Box_Test_473.pdf,51,1,"[0.02, 0.52]",2,0.54,540.0
./AntiPattern_William_J_Brown_344.pdf,3782,3,"[1.23, 1.68, 1.56, 2.28, 2.82, 2.44, 2.22, 1.89]",8,16.13,792.0
./AntiPattern_William_J_Brown_355.pdf,17417,15,"[2.03, 2.3, 1.93, 1.61, 1.79, 1.57, 2.2, 1.96, 1.94, 1.78, 1.41, 2.46, 2.07, 2.09, 1.98, 1.79, 2.09, 2.42, 2.22, 1.59, 1.29, 2.48, 2.49, 2.07, 1.84, 2.35, 2.69, 2.52, 2.8, 2.12, 2.05, 1.8, 2.48, 1.38, 0.97, 2.19, 1.91]",37,74.67,792.0
