moodle_quiz_id,quiz_module_id,max_grade
1,21,10.00000
2,42,10.00000
3,59,10.00000
4,75,10.00000
5,92,10.00000
6,109,10.00000
7,125,10.00000
8,137,10.00000
9,152,10.00000
10,172,10.00000
11,182,10.00000
12,194,10.00000
13,207,10.00000
14,216,10.00000
15,230,10.00000
16,231,10.00000
17,245,10.00000
18,259,10.00000
19,277,10.00000
20,278,10.00000
21,279,10.00000
22,294,10.00000
23,304,10.00000
24,314,10.00000
25,324,10.00000
26,333,10.00000
27,341,10.00000
28,353,10.00000
29,362,10.00000
30,370,10.00000
31,382,10.00000
32,392,10.00000
33,403,10.00000
34,417,100.00000
35,430,10.00000
36,441,10.00000
37,452,10.00000
38,463,10.00000
39,474,10.00000
40,485,10.00000
41,500,10.00000
