id,quiz,userid,grade,timemodified
1,1,40,9.44444,1711615484
2,2,40,6.92308,1711616307
3,1,27,10.00000,1712674933
4,2,27,9.23077,1712760425
5,3,27,8.88889,1712997370
6,4,27,10.00000,1713007975
7,5,27,8.18182,1713275090
8,6,27,6.36364,1713279250
9,7,27,7.61905,1713280582
10,8,27,5.00000,1713281470
11,9,27,8.50000,1713282635
12,10,27,8.00000,1713283127
13,11,27,8.56061,1713283622
14,8,59,5.00000,1714134412
15,13,59,10.00000,1720353451
16,22,59,10.00000,1720354650
17,23,59,5.00000,1716212861
18,27,42,10.00000,1718893937
19,28,42,7.33333,1716832301
20,13,25,10.00000,1717960058
21,30,25,10.00000,1718009115
22,26,25,8.33333,1718011361
23,22,25,10.00000,1718025101
24,30,17,6.00000,1718046191
25,30,26,8.00000,1718092187
26,13,26,10.00000,1720269899
27,23,26,8.00000,1720270326
28,22,26,10.00000,1720270130
29,21,26,8.33333,1720278478
30,15,26,10.00000,1720278578
31,38,19,10.00000,1720353871
32,17,26,6.00000,1720278836
33,16,26,7.50000,1720278682
34,14,26,9.95025,1718125197
35,2,42,10.00000,1719993446
36,6,42,8.18182,1718222228
37,23,25,10.00000,1718354983
38,8,42,6.66667,1718299323
39,9,42,9.00000,1718301605
40,10,42,8.00000,1718302252
41,18,25,10.00000,1718357837
42,21,25,10.00000,1718360005
43,15,25,10.00000,1718362442
44,14,25,10.00000,1718364239
45,19,25,9.95025,1718364412
46,20,25,10.00000,1718365737
47,24,25,10.00000,1718366524
48,30,42,10.00000,1720105190
49,13,42,10.00000,1718376212
50,22,42,8.66667,1718376796
51,3,42,8.88889,1718462081
52,4,42,7.77778,1718463106
53,1,32,9.44444,1718542087
54,31,42,7.69231,1720361327
55,32,42,7.14286,1719073501
56,34,42,10.00000,1719074225
57,3,21,6.66667,1719230348
58,1,16,8.88889,1719230593
59,2,16,8.46154,1719232409
60,3,16,8.88889,1719235676
61,4,16,8.88889,1719236854
62,5,16,6.36364,1719237788
63,6,16,9.09091,1719255354
64,7,16,7.14286,1719258355
65,8,16,8.33333,1719259065
66,9,16,10.00000,1719307087
67,10,16,7.00000,1719309338
68,11,16,8.78788,1719312725
69,30,16,8.00000,1719315777
70,26,42,9.16667,1720265633
71,26,16,7.50000,1719395675
72,13,16,3.33333,1719397446
73,22,16,8.66667,1719398392
74,23,16,5.00000,1719398628
75,18,16,10.00000,1719400749
76,21,16,10.00000,1719401728
77,15,16,10.00000,1719405405
78,17,16,2.00000,1719405843
79,16,16,7.50000,1719406312
80,14,16,10.00000,1719406643
81,19,16,10.00000,1719406943
82,20,16,10.00000,1719407547
83,24,16,8.75000,1719408120
84,27,16,5.00000,1719408883
85,28,16,9.33333,1719409280
86,29,16,9.33333,1719409919
87,31,16,7.69231,1719410655
88,32,16,7.14286,1719413537
89,33,16,7.89474,1719414788
90,34,16,9.23077,1719418802
91,35,16,100.00000,1719419777
92,13,21,10.00000,1719436731
93,36,16,10.00000,1719488161
94,37,16,10.00000,1719488371
95,38,16,10.00000,1719488781
96,39,16,10.00000,1719489019
97,40,16,10.00000,1719489249
98,41,16,10.00000,1719489654
99,42,16,10.00000,1719490227
100,31,26,7.69231,1719594327
101,21,21,10.00000,1719655387
102,32,26,7.14286,1719663202
103,15,21,10.00000,1719664124
104,16,21,7.50000,1719664309
105,17,21,2.00000,1719664444
106,14,21,10.00000,1719665619
107,19,21,5.02488,1719666223
108,20,21,7.50000,1719666885
109,24,21,7.50000,1719668245
110,1,17,8.88889,1719672650
111,2,17,7.69231,1719736645
112,3,17,8.88889,1719743060
113,33,26,9.47368,1720438851
114,34,26,9.23077,1720263421
115,35,26,100.00000,1719765102
116,30,41,4.00000,1720391174
117,36,26,7.50000,1719827877
118,37,26,10.00000,1719830900
119,38,26,6.66667,1719834868
120,39,26,10.00000,1719835558
121,40,26,10.00000,1719835993
122,41,26,10.00000,1719863494
123,31,25,10.00000,1719995663
124,32,25,10.00000,1720004059
125,42,26,10.00000,1720003617
126,26,19,6.66667,1720022468
127,18,42,6.66667,1720105896
128,1,43,10.00000,1720105950
129,21,42,6.66667,1720106143
130,15,42,5.00000,1720106370
131,16,42,7.50000,1720106484
132,17,42,4.00000,1720106591
133,14,42,10.00000,1720106729
134,19,42,9.95025,1720107031
135,24,42,6.25000,1720107289
136,20,42,2.50000,1720107482
137,33,25,10.00000,1720121009
138,34,25,10.00000,1720123066
139,1,59,5.00000,1720178232
140,38,21,10.00000,1720184581
141,39,21,10.00000,1720185057
142,40,21,7.50000,1720185503
143,2,59,4.61538,1720186299
144,2,25,6.15385,1720189949
145,3,25,4.44444,1720190818
146,5,25,2.72727,1720191517
147,6,25,4.54545,1720192463
148,7,25,3.80952,1720193873
149,26,17,8.33333,1720254829
150,35,32,100.00000,1720255324
151,36,32,10.00000,1720257427
152,37,32,10.00000,1720265885
153,6,59,6.36364,1720269076
154,38,32,6.66667,1720270230
155,18,26,10.00000,1720270515
156,1,37,9.44444,1720272008
157,9,59,6.50000,1720273084
158,35,42,100.00000,1720273986
159,30,19,8.00000,1720274402
160,13,19,6.66667,1720274559
161,22,19,8.66667,1720274756
162,18,19,10.00000,1720274865
163,21,19,8.33333,1720274979
164,15,19,10.00000,1720275117
165,16,19,2.50000,1720275209
166,17,19,4.00000,1720275305
167,14,19,10.00000,1720275418
168,36,42,10.00000,1720275649
169,37,42,7.50000,1720275952
170,24,26,8.75000,1720279795
171,38,42,3.33333,1720283254
172,39,42,10.00000,1720284213
173,3,37,7.77778,1720294050
174,10,59,5.00000,1720302794
175,4,37,8.88889,1720306639
176,5,37,8.18182,1720341962
177,26,21,7.50000,1720342254
178,22,21,10.00000,1720343733
179,18,21,10.00000,1720344571
180,34,19,9.23077,1720347352
181,31,19,5.38462,1720347636
182,6,37,8.18182,1720349113
183,35,19,100.00000,1720349325
