Module ID,Word Count
115,185
491,126
440,0
290,220
390,33
312,13
410,103
383,199
293,80
352,132
380,25
66,259
401,23
416,0
310,220
329,196
415,22
134,14
391,246
388,154
367,225
267,171
458,76
90,20
331,16
361,130
338,137
122,31
214,10
243,14
402,239
177,151
40,28
273,11
193,64
398,146
450,27
41,116
436,134
447,154
472,13
215,75
169,20
255,219
203,176
358,165
332,88
71,90
369,301
106,23
266,174
323,83
275,76
272,10
439,12
300,197
469,144
313,83
340,8
120,106
303,75
206,72
351,16
302,12
378,139
292,11
342,34
212,183
91,58
241,208
164,282
56,77
258,79
360,18
425,110
349,200
55,14
179,80
70,15
205,33
271,14
244,149
149,29
322,14
498,23
142,277
276,80
368,25
428,11
49,283
320,196
257,13
14,129
265,171
461,18
483,15
17,27
480,151
86,254
